Timestamp,1. Rank,2. How many years have you been working in the NICU/SCBU? ,3. Did you complete any specialty courses (e.g PRCC)?,"1. According to American Academy of Pediatrics (AAP), what is the ideal sound level in NICU?",2. When does a fetus start to hear sounds?,3. Which of the following about sleep is true?,4. When does a fetus start to hear and habituate to sounds outside the uterus and respond like an adult?,5. Which of the following statement is true?,6. What are the long term adverse effects of prolonged exposure of sound over 60dB on an infant?,7. Which of the following nursing intervention(s) can promote infant? brain development?,8. How many hours of sleep does a preterm baby need?,"9. Fetal development of the sensory system occurs in a specific sequence, which of the following is true?",10. What is/are the direct physiological adverse effect(s) of noise exposure on neonates?,11. What is the duration of a normal sleep cycle for a newborn?,Unnamed: 15,Telephone number (last 4 digits)
2021/09/03 9:17:22 AM GMT+8,RN,<2 years,No,Below 45 dB,17 weeks of gestational age,C,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,B,60 minutes,11,91
2021/08/26 4:45:20 AM GMT+8,RN,6 -10 years,Yes,Below 45 dB,17 weeks of gestational age,C,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,B,60 minutes,11,330
2021/09/04 10:35:22 PM GMT+8,RN,2-5 years,No,Below 45 dB,17 weeks of gestational age,C,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,B,60 minutes,11,1218
2021/09/17 5:32:37 AM GMT+8,RN,> 10years,Yes,Below 45 dB,17 weeks of gestational age,C,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,B,60 minutes,11,1234
2021/08/20 4:27:04 AM GMT+8,RN,> 10years,No,Below 45 dB,17 weeks of gestational age,C,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,B,60 minutes,11,1408
2021/09/16 9:21:46 PM GMT+8,RN,2-5 years,No,Below 45 dB,17 weeks of gestational age,C,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,B,60 minutes,11,1578
2021/08/22 3:55:22 PM GMT+8,RN,6 -10 years,Yes,Below 45 dB,17 weeks of gestational age,C,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,B,60 minutes,11,2061
2021/08/22 6:21:30 PM GMT+8,RN,2-5 years,No,Below 45 dB,22 weeks of gestational age,D,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,D,60 minutes,8,2222
2021/08/26 2:39:03 AM GMT+8,RN,<2 years,No,Below 45 dB,17 weeks of gestational age,A,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,C,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,B,60 minutes,9,2588
2021/09/03 6:41:51 PM GMT+8,RN,6 -10 years,Yes,Below 45 dB,12 weeks of gestational age,C,14-18 weeks of gestational age,A preterm newborn is able to identify between his/her mother? voice and other females.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,B,60 minutes,8,2705
