Timestamp,1. Rank,2. How many years have you been working in the NICU/SCBU? ,3. Did you complete any specialty courses (e.g PRCC)?,"1. According to American Academy of Pediatrics (AAP), what is the ideal sound level in NICU?",2. When does a fetus start to hear sounds?,3. Which of the following about sleep is true?,4. When does a fetus start to hear and habituate to sounds outside the uterus and respond like an adult?,5. Which of the following statement is true?,6. What are the long term adverse effects of prolonged exposure of sound over 60dB on an infant?,7. Which of the following nursing intervention(s) can promote infant? brain development?,8. How many hours of sleep does a preterm baby need?,"9. Fetal development of the sensory system occurs in a specific sequence, which of the following is true?",10. What is/are the direct physiological adverse effect(s) of noise exposure on neonates?,11. What is the duration of a normal sleep cycle for a newborn?,1. I speak quietly in the patient cubicles.,2. I respond to the alarms in NICU immediately.,3. I put items on top of the incubators in NICU.,4. I check the alarm volume of equipment/ devices routinely.,5. I use incubator cover or dim light in the cubicles of NICU.,"6. I do nursing procedures such as changing diapers, suctioning, and monitoring temperature according to the schedule.",7. Bright light is necessary in an NICU working environment.,8. Implementation of quiet time can reduce noise level in NICU. ,9. Noise is avoidable in NICU working environment.,10. The light intensity and the noise level rarely cause physiological instability of infants in NICU.,11. A fixed-time routine care provides adequate rest and sleep to infants in NICU.,12. Providing adequate sleep and rest are important nursing care for preterm and critically ill infants.,13. The light intensity and the noise level rarely interrupt an infant's sleep pattern in NICU.,14. The key role of nurses is to provide an optimal environment for an infant's growth and development.,15. Clustered care should be done every 4 hours.,"For question 15, if you choose disagree/ strongly disagree, please state how many _______ hour(s) that you prefer.",Telephone number (last 4 digits)
2021/08/28 7:47:46 PM GMT+8,APN,> 10years,Yes,Below 50 dB,22 weeks of gestational age,D,24-28 weeks of gestational age,A preterm newborn is able to identify between his/her mother? voice and other females.,C,D,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,B,90 minutes,,,,,,,,,,,,,,,,,804
2021/08/20 5:50:19 AM GMT+8,APN,> 10years,Yes,Below 45 dB,17 weeks of gestational age,D,19-22 weeks of gestational age,Basic auditory structure is started to form at 20 weeks of gestational age.,A,D,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,A,60 minutes,Always,Always,Never,Never,Always,Sometimes,Strongly Disagree,Agree,Disagree,Neutral,Disagree,Agree,Agree,Strongly Agree,Neutral,,1687
2021/08/20 5:33:08 AM GMT+8,APN,> 10years,Yes,Below 45 dB,27 weeks of gestational age,A,29-32 weeks of gestational age,Basic auditory structure is started to form at 20 weeks of gestational age.,A,D,More than 18 hours,Smell and Taste -> Vestibular ->Touch -> Sight -> Vision,D,30 minutes,Always,Always,Sometimes,Always,Always,Always,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,,2690
2021/09/17 6:06:20 AM GMT+8,APN,> 10years,Yes,Below 45 dB,17 weeks of gestational age,C,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,B,60 minutes,,,,,,,,,,,,,,,,,3042
2021/08/20 5:54:55 AM GMT+8,APN,> 10years,Yes,Below 40 dB,17 weeks of gestational age,C,24-28 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,A,D,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,B,90 minutes,Often,Always,Sometimes,Often,Always,Sometimes,Neutral,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,8月6日,4365
2021/08/20 5:22:19 AM GMT+8,APN,> 10years,Yes,Below 40 dB,17 weeks of gestational age,D,19-22 weeks of gestational age,A preterm newborn can distinguish sound of different intensities and frequencies.,D,D,More than 18 hours,Hearing -> Smell and Taste -> Vestibular -> Vision ->Touch,C,90 minutes,Sometimes,Always,Sometimes,Always,Always,Often,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,6,6464
2021/09/03 9:10:23 AM GMT+8,RN,<2 years,No,Below 50 dB,12 weeks of gestational age,D,29-32 weeks of gestational age,Mother helps fetus to reduce 20-35 decibels and filter high frequency sound over 500 Hertz.,A,D,More than 18 hours,Hearing -> Smell and Taste -> Vestibular -> Vision ->Touch,B,90 minutes,Always,Always,Often,Often,Always,Often,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,,91
2021/08/20 4:31:37 AM GMT+8,RN,6 -10 years,Yes,Below 45 dB,17 weeks of gestational age,D,19-22 weeks of gestational age,Basic auditory structure is started to form at 20 weeks of gestational age.,A,D,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,A,60 minutes,Always,Always,Rarely,Often,Always,Sometimes,Strongly Agree,Agree,Strongly Disagree,Neutral,Neutral,Agree,Agree,Agree,Disagree,,330
2021/09/01 9:57:00 PM GMT+8,RN,2-5 years,No,Below 45 dB,17 weeks of gestational age,B,24-28 weeks of gestational age,Basic auditory structure is started to form at 20 weeks of gestational age.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,B,30 minutes,Often,Always,Sometimes,Sometimes,Always,Always,Neutral,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,,1218
2021/08/22 3:18:43 PM GMT+8,RN,> 10years,Yes,Below 40 dB,27 weeks of gestational age,D,29-32 weeks of gestational age,A preterm newborn can distinguish sound of different intensities and frequencies.,D,B,More than 18 hours,Touch -> Vestibular -> Smell and Taste -> Hearing -> Vision,A,90 minutes,Always,Often,Rarely,Often,Always,Always,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,1234
